#Annotated with Bakta (v1.0.3): https://github.com/oschwengers/bakta
#Database (v2.0): https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	37844	38683	+	HAFFOH_00225	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	COG:COG3570, COG:V, SO:0001217, UniParc:UPI0003E35420, UniRef100:UniRef100_V5KBE1, UniRef50:UniRef50_C5IWK8, UniRef90:UniRef90_Q7ATJ6
contig_1	cds	38655	39194	-	HAFFOH_00230		IS91 family transposase	RefSeq:WP_001120891.1, SO:0001217, UniParc:UPI00000AEE33, UniRef100:UniRef100_A0T3C2, UniRef50:UniRef50_A0T3C2, UniRef90:UniRef90_A0T3C2
contig_1	cds	39404	39640	-	HAFFOH_00235	blaTEM-1	class A broad-spectrum beta-lactamase TEM-1	EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, SO:0001217, UniParc:UPI0001F07B88, UniRef100:UniRef100_P62593, UniRef50:UniRef50_P62593, UniRef90:UniRef90_P62593
contig_1	cds	39708	40430	-	HAFFOH_00240	tnp-IS6	IS6-like element IS26 family transposase	COG:COG3316, COG:X, RefSeq:WP_001313567.1, SO:0001217, UniParc:UPI000049F13E, UniRef100:UniRef100_A0A6D1P4S9, UniRef50:UniRef50_C7EZD9, UniRef90:UniRef90_C7EZD9
contig_1	cds	40483	41496	-	HAFFOH_00245	intI1	class 1 integron integrase IntI1	COG:COG4974, COG:L, GO:0003677, GO:0006310, GO:0015074, GO:0044826, GO:0046718, GO:0075713, RefSeq:WP_000845048.1, SO:0001217, UniParc:UPI0000000166, UniRef100:UniRef100_P62590, UniRef50:UniRef50_P62590, UniRef90:UniRef90_P62590
contig_1	ncRNA-region	41586	41664	+			putative aminoglycoside riboswitch / attI site	RFAM:RF02912, SO:0000035
contig_1	sorf	41598	41636	+	HAFFOH_00250	estX	Streptothricin acetyltransferase	SO:0001217, UniParc:UPI00000B6A7E, UniRef100:UniRef100_A9QNW9, UniRef50:UniRef50_A0A2R4A7Q1, UniRef90:UniRef90_B2G4W1
contig_1	cds	41681	42064	-	HAFFOH_00255		AadA14_1_AJ884726	SO:0001217, UniParc:UPI0000E5F522, UniRef100:UniRef100_A0A565FCF2, UniRef50:UniRef50_A0A565FCF2, UniRef90:UniRef90_A0A565FCF2
contig_1	cds	42074	42433	+	HAFFOH_00260		Streptomycin 3''-adenylyltransferase	SO:0001217, UniRef50:UniRef50_A0A1Y6M5Q0, UniRef90:UniRef90_A0A2S1J942
contig_1	cds	42616	42900	+	HAFFOH_00265		hypothetical protein	SO:0001217, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_J7FRR6
contig_1	sorf	43193	43240	+	HAFFOH_00270		HTH luxR-type domain-containing protein	COG:COG2771, COG:K, SO:0001217, UniParc:UPI0006BD40C6, UniRef100:UniRef100_A0A0M5DIC7, UniRef50:UniRef50_L4J2W8, UniRef90:UniRef90_A0A0M5DIC7
contig_1	cds	43552	44226	+	HAFFOH_00275	catA1	type A-1 chloramphenicol O-acetyltransferase	RefSeq:WP_031942326.1, SO:0001217, UniParc:UPI0004E061A9, UniRef100:UniRef100_A0A3S7L762, UniRef90:UniRef90_P58777
contig_1	cds	44633	44917	-	HAFFOH_00280		hypothetical protein	SO:0001217, UniRef50:UniRef50_Q9X2S9, UniRef90:UniRef90_J7FRR6
contig_1	cds	45040	45273	-	HAFFOH_00285		hypothetical protein	
